symbol_id,category_id,assigned_date
1,10,2020-01-01
2,10,2020-01-01
3,10,2020-01-01
4,10,2020-01-01
5,10,2020-01-01
6,10,2020-01-01
7,10,2020-01-01
8,10,2020-01-01
9,10,2020-01-01
10,10,2020-01-01
11,10,2020-01-01
12,10,2020-01-01
13,10,2020-01-01
14,10,2020-01-01
15,10,2020-01-01
16,10,2020-01-01
17,10,2020-01-01
18,10,2020-01-01
19,10,2020-01-01
20,10,2020-01-01
21,10,2020-01-01
22,10,2020-01-01
23,10,2020-01-01
24,10,2020-01-01
25,10,2020-01-01
26,10,2020-01-01
27,10,2020-01-01
28,10,2020-01-01
29,10,2020-01-01
30,10,2020-01-01
31,10,2020-01-01
32,10,2020-01-01
33,10,2020-01-01
34,10,2020-01-01
35,10,2020-01-01
36,10,2020-01-01
37,10,2020-01-01
38,10,2020-01-01
39,10,2020-01-01
40,10,2020-01-01
41,10,2020-01-01
42,10,2020-01-01
43,10,2020-01-01
44,10,2020-01-01
45,10,2020-01-01
46,10,2020-01-01
47,10,2020-01-01
48,10,2020-01-01
49,10,2020-01-01
50,10,2020-01-01
51,10,2020-01-01
52,10,2020-01-01
53,10,2020-01-01
54,10,2020-01-01
55,10,2020-01-01
56,10,2020-01-01
57,10,2020-01-01
58,10,2020-01-01
59,10,2020-01-01
60,10,2020-01-01
61,10,2020-01-01
62,10,2020-01-01
63,10,2020-01-01
64,10,2020-01-01
65,10,2020-01-01
66,10,2020-01-01
67,10,2020-01-01
68,10,2020-01-01
69,10,2020-01-01
70,10,2020-01-01
71,10,2020-01-01
72,10,2020-01-01
73,10,2020-01-01
74,10,2020-01-01
75,10,2020-01-01
76,10,2020-01-01
77,10,2020-01-01
78,10,2020-01-01
79,10,2020-01-01
80,10,2020-01-01
81,10,2020-01-01
82,10,2020-01-01
83,10,2020-01-01
84,10,2020-01-01
85,10,2020-01-01
86,10,2020-01-01
87,10,2020-01-01
88,10,2020-01-01
89,10,2020-01-01
90,10,2020-01-01
91,10,2020-01-01
92,10,2020-01-01
93,10,2020-01-01
94,10,2020-01-01
95,10,2020-01-01
96,10,2020-01-01
97,10,2020-01-01
98,10,2020-01-01
99,10,2020-01-01
100,10,2020-01-01
101,10,2020-01-01
102,10,2020-01-01
103,10,2020-01-01
104,10,2020-01-01
105,10,2020-01-01
106,10,2020-01-01
107,10,2020-01-01
108,10,2020-01-01
109,10,2020-01-01
110,10,2020-01-01
111,10,2020-01-01
112,10,2020-01-01
113,10,2020-01-01
114,10,2020-01-01
115,10,2020-01-01
116,10,2020-01-01
117,10,2020-01-01
118,10,2020-01-01
119,10,2020-01-01
120,10,2020-01-01
