symbol_id,currency,country,description
1,USD,USA,Invesco Quality Municipal Income Trust Common Stock
2,USD,USA,iStar Inc. Common Stock
3,USD,USA,Hewlett Packard Enterprise Company Common Stock
4,USD,USA,Arlington Asset Investment Corp Class A (new)
5,USD,USA,"Olympic Steel, Inc. - Common Stock"
6,USD,USA,"Allied Motion Technologies, Inc. - Common Stock"
7,USD,USA,MSB Financial Corp. - Common Stock
8,USD,USA,"Eagle Bancorp Montana, Inc. - Common Stock"
9,USD,USA,"Prudential Financial, Inc. 5.625% Junior Subordinated Notes due 2058"
10,USD,USA,"Art's-Way Manufacturing Co., Inc. - Common Stock"
11,USD,USA,Silvercorp Metals Inc. Common Shares
12,USD,USA,"Group 1 Automotive, Inc. Common Stock"
13,USD,USA,Allstate Corporation (The) Common Stock
14,USD,USA,Altus Midstream Company - Class A Common Stock
15,USD,USA,"Live Nation Entertainment, Inc. Common Stock"
16,USD,USA,"Medallion Bank - Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series F"
17,USD,USA,Enstar Group Limited - Depositary Shares Each Representing 1/1000th of an interest in Preference Shares
18,USD,USA,Algonquin Power & Utilities Corp. Common Shares
19,USD,USA,ITT Inc. Common Stock 
20,USD,USA,"ARC Document Solutions, Inc. Common Stock"
21,USD,USA,Nebula Acquisition Corporation - Warrant
22,USD,USA,"CB Financial Services, Inc. - Common Stock"
23,USD,USA,People's Utah Bancorp - Common Stock
24,USD,USA,Liberty Media Corporation - Series C Liberty Braves Common Stock
25,USD,USA,NorthWestern Corporation Common Stock
26,USD,USA,AllianzGI Convertible & Income Fund II Common Shares of Beneficial Interest
27,USD,USA,Electrameccanica Vehicles Corp. Ltd. - Common Stock
28,USD,USA,"MainStreet Bancshares, Inc. - Common Stock"
29,USD,USA,"Insignia Systems, Inc. - Common Stock"
30,USD,USA,Euro Tech Holdings Company Limited - Ordinary Shares
31,USD,USA,SEI Investments Company - Common Stock
32,USD,USA,Diamondrock Hospitality Company Common Stock
33,USD,USA,Silver Spike Acquisition Corp. - Units
34,USD,USA,"LSB Industries, Inc. Common Stock"
35,USD,USA,Nuveen High Income 2023 Target Term Fund Common Shares of Beneficial Interest
36,USD,USA,ManTech International Corporation - Class A Common Stock
37,USD,USA,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest
38,USD,USA,"Hallmark Financial Services, Inc. - Common Stock"
39,USD,USA,Globe Life Inc. Common Stock
40,USD,USA,Ball Corporation Common Stock
41,USD,USA,"Hostess Brands, Inc. - Warrants"
42,USD,USA,"ArTara Therapeutics, Inc.  - Common Stock"
43,USD,USA,"Nicholas Financial, Inc. - Common Stock"
44,USD,USA,DWS Strategic Municipal Income Trust
45,USD,USA,"Monaker Group, Inc. - Common Stock"
46,USD,USA,"XPO Logistics, Inc."
47,USD,USA,"Gaming and Leisure Properties, Inc. - Common Stock"
48,USD,USA,"Triumph Group, Inc. Common Stock"
49,USD,USA,"Xtant Medical Holdings, Inc. Common Stock"
50,USD,USA,National Bank Holdings Corporation Common Stock
51,USD,USA,Accuray Incorporated - Common Stock
52,USD,USA,Anika Therapeutics Inc. - Common Stock
53,USD,USA,"Professional Diversity Network, Inc. - Common Stock"
54,USD,USA,Martin Midstream Partners L.P. - Common Units Representing Limited Partnership Interests
55,USD,USA,Terex Corporation Common Stock
56,USD,USA,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
57,USD,USA,"Eagle Bancorp, Inc. - Common Stock"
58,USD,USA,"DSP Group, Inc. - Common Stock"
59,USD,USA,"Easterly Government Properties, Inc. Common Stock"
60,USD,USA,Union Pacific Corporation Common Stock
61,USD,USA,Waters Corporation Common Stock
62,USD,USA,Adams Diversified Equity Fund Inc.
63,USD,USA,Canadian Imperial Bank of Commerce Common Stock
64,USD,USA,Universal Corporation Common Stock
65,USD,USA,"Hudson Pacific Properties, Inc. Common Stock"
66,USD,USA,Weyerhaeuser Company Common Stock
67,USD,USA,"Lifeway Foods, Inc. - Common Stock"
68,USD,USA,GasLog Ltd. Common Shares
69,USD,USA,"Bellicum Pharmaceuticals, Inc. - Common Stock"
70,USD,USA,"Rocket Pharmaceuticals, Inc. - Common Stock"
71,USD,USA,"Nuveen Emerging Markets Debt 2022 Target Term Fund Common Shares of Beneficial Interest, $0.01 par value per share"
72,USD,USA,Xunlei Limited - American Depositary Shares
73,USD,USA,Landmark Bancorp Inc. - Common Stock
74,USD,USA,Ultralife Corporation - Common Stock
75,USD,USA,"Castlight Health, Inc. Class B Common Stock"
76,USD,USA,Terreno Realty Corporation Common Stock
77,USD,USA,FS KKR Capital Corp. Common Stock
78,USD,USA,Innospec Inc. - Common Stock
79,USD,USA,Criteo S.A. - American Depositary Shares
80,USD,USA,PCSB Financial Corporation - Common Stock
81,USD,USA,SPX Corporation Common Stock
82,USD,USA,"Mustang Bio, Inc. - Common Stock"
83,USD,USA,"Sesen Bio, Inc. - Common Stock"
84,USD,USA,"Cheniere Energy Partners, LP Cheniere Energy Partners, LP Common Units"
85,USD,USA,Nuveen Select Tax Free Income Portfolio II Common Stock
86,USD,USA,Cohen & Steers Inc Common Stock
87,USD,USA,"Staffing 360 Solutions, Inc. - Common Stock"
88,USD,USA,"Winnebago Industries, Inc. Common Stock"
89,USD,USA,"Chicken Soup for the Soul Entertainment, Inc. - Class A Common Stock"
